category,question,answer
Visitor Visa,Do I need a visa to visit Canada?  ,Most travelers need a visa or an Electronic Travel authorization (eTA) to fly to or transit through a Canadian airport. 
Visitor Visa,I am visiting the U.S. and I want to come to Canada. Do I need an eTA?   ,"Most travelers need a visitor visa or an eTA to travel to, or transit through, Canada, depending on travel document you will travel with, your nationality, and how you will travel to Canada.   "
Visitor Visa,What is a business visitor? ,A business visitor is someone who comes to Canada for international business activities and without directly entering the Canadian labour market. 
Visitor Visa,Do I need to apply for both a visitor visa and an eTA?,"No. If you plan to travel to Canada, you need a valid visitor visa OR a valid eTA."
Visitor Visa,Do I need a visa if I’m just travelling through Canada on my way to another country?,"The document you need to transit through Canada depends on a few factors, including if you plan to visit Canada. "
Visitor Visa,What is the difference between a single and a multiple entry visa?,"The main difference between these two visa types is that a single-entry visa allows entry to Canada for one time only, and a multiple-entry visa allows entry many times. "
Visitor Visa,Why was I issued a single-entry visa instead of a multiple entry visa?,"All applicants who are eligible for a multiple entry visa will be issued one. However, not all applicants will be eligible for a multiple entry visa. This remains at the discretion of a visa officer. "
Visitor Visa,I have an eTA or a visa. What can I expect when I arrive in Canada?,A border services officer will verify that you are eligible to enter Canada when you arrive at the point of entry. The officer will authorize your stay by stamping your passport and/or issuing another document. 
Visitor Visa,I am in Canada on a temporary resident visa. I plan to take a cruise. Do I need a new visa to come back to Canada?,"If you are on a cruise ship that departs from Canada or the continental United States and enters international waters and you are not in possession of a valid multiple-entry visa, you will need to obtain a new temporary resident visa in order to re-enter Canada. "
Visitor Visa,Do I need a visa if I’m just travelling through Canada on my way to another country?,"The document you need to transit through Canada depends on a few factors, including if you plan to visit Canada. "
Visitor Visa,How do I get a transit visa?,You can apply for a transit visa by filling out the application for a Temporary Resident Visa and selecting transit visa from the list of options on the form. 
Visitor Visa,How do I get help if my visa application is refused?,"There is no formal appeal process if your application for a temporary resident visa is refused. Should you wish to re-apply, you should do so only if your situation has changed substantively, or you have significant new information to submit. "
Healthcare,"If I get sick or have an accident while visiting Canada, will the Government of Canada pay for my medical treatment?",Canada does not pay for hospital or medical services for visitors. You should get health insurance to cover any medical costs before you come to Canada. 
Visitor Visa,Is there a different application form for CAN+?,No. Simply apply for a visitor visa online or on paper. 
Visitor Visa,How do I know that my application can be processed under CAN+? What supporting documents should I submit?,Visa application centres will screen all applications for CAN+ eligibility. Applications that show that the applicant travelled to Canada in the last 10 years or holds a valid U.S. non-immigrant visa will be sent to the visa office for expedited processing. 
Permanent Residence,How do I validate a Confirmation of Permanent Residence or a permanent resident visa if I live in Canada?,All in-person permanent resident landing appointments at our offices in Canada are suspended until further notice. 
Visitor Visa,Must I leave Canada by the valid until date on my visitor visa?,No. The date on the visitor visa is the date by which you must arrive in Canada. How long you can stay will be decided when you enter Canada. 
Permanent Residence,I need to leave Canada and I do not have a permanent resident card. Can I later return to Canada without a PR card?,"If you leave Canada without a valid PR card, you must apply for a PRTD to re-enter Canada.It might take longer than normal to process your PRTD application. This could delay your return to Canada. "
Work Permit ,Can I leave and come back to Canada if I have a work permit?,"Yes. However, a work permit isn’t a travel document. It doesn’t give you the right to travel to Canada. "
Study Permit,I've applied to extend my study permit. Can I travel outside Canada and be able to return? ,"Yes. You can leave Canada and return as long as your visitor visa or Electronic Travel Authorization (eTA) is still valid. If your visitor visa or eTA is expired, you must apply for and receive a new one before you leave. "
Work Permit ,I’m waiting for my post-graduation work permit. Can I travel outside Canada and come back with my student visa?,"You can leave Canada and return, as long as your visa or Electronic Travel Authorization (eTA) is still valid. Your permit (study or work) is not a visa and doesn't allow you to travel back to Canada.If your visa or eTA is expired, you have to get a new one before you return to Canada. "
Citizenship,How can I get help with my immigration or citizenship application?,"There are several ways to get help with your application, depending on what you need help with. The fastest and most affordable way to get help with your application is to use our online resources. "
Visitor Visa,"I do not need a visa, but I want to stay in Canada as a visitor for longer than six months. What do I need to do?","If you entered Canada and you did not need a visa but want to stay longer, you must apply for an extension and pay a fee. This must be done from inside Canada. You should apply for an extension at least 30 days before your status expires – usually 6 months from the day you entered Canada. "
Visitor Visa,Does a business visitor need a special visa to enter Canada?,"No, business visitors who need a visa or an electronic travel authorization (eTA) must complete the visitor visa or eTA form. The eTA and visitor visa cover all visitors, including those coming to Canada on business. Find out if you need an eTA or visa."
Visitor Visa,"If I am a business visitor, do I need a work permit to work in Canada? ","You do not need a work permit to carry out business activities related to your job back home, such as meeting clients of your company or visiting job sites. "
Visitor Visa,Do I have to submit my passport with my application for a temporary resident visa?,"Yes. The visa office where you apply may have certain instructions on how and where to submit your passport and how to get your visa. If you will need your passport for other travel while we are processing your application, tell the visa office. Staff will let you know what to do."
